faction	unit_purchasable_effect
wh3_main_kho_khorne_qb1	rhox_akkorak_purchasable_speed
wh3_main_kho_khorne_qb2	rhox_akkorak_purchasable_speed
wh3_main_kho_khorne_rebels	rhox_akkorak_purchasable_speed
wh3_dlc20_nur_pallid_nurslings	rhox_akkorak_purchasable_speed
wh3_main_nur_bubonic_swarm	rhox_akkorak_purchasable_speed
wh3_main_nur_maggoth_kin	rhox_akkorak_purchasable_speed
wh3_main_nur_nurgle	rhox_akkorak_purchasable_speed
wh3_main_nur_nurgle_qb1	rhox_akkorak_purchasable_speed
wh3_main_nur_nurgle_rebels	rhox_akkorak_purchasable_speed
wh3_main_nur_poxmakers_of_nurgle	rhox_akkorak_purchasable_speed
wh3_main_nur_septic_claw	rhox_akkorak_purchasable_speed
wh3_dlc20_sla_keepers_of_bliss	rhox_akkorak_purchasable_speed
wh3_main_sla_exquisite_pain	rhox_akkorak_purchasable_speed
wh3_main_sla_rapturous_excess	rhox_akkorak_purchasable_speed
wh3_main_sla_seducers_of_slaanesh	rhox_akkorak_purchasable_speed
wh3_main_sla_slaanesh	rhox_akkorak_purchasable_speed
wh3_main_sla_slaanesh_qb1	rhox_akkorak_purchasable_speed
wh3_main_sla_slaanesh_rebels	rhox_akkorak_purchasable_speed
wh3_main_sla_subtle_torture	rhox_akkorak_purchasable_speed
wh3_dlc20_tze_apostles_of_change	rhox_akkorak_purchasable_speed
wh3_dlc20_tze_the_sightless	rhox_akkorak_purchasable_speed
wh3_dlc24_tze_the_deceivers	rhox_akkorak_purchasable_speed
wh3_main_tze_all_seeing_eye	rhox_akkorak_purchasable_speed
wh3_main_tze_broken_wheel	rhox_akkorak_purchasable_speed
wh3_main_tze_flaming_scribes	rhox_akkorak_purchasable_speed
wh3_main_tze_oracles_of_tzeentch	rhox_akkorak_purchasable_speed
wh3_main_tze_sarthoraels_watchers	rhox_akkorak_purchasable_speed
wh3_main_tze_tzeentch	rhox_akkorak_purchasable_speed
wh3_main_tze_tzeentch_invasion	rhox_akkorak_purchasable_speed
wh3_main_tze_tzeentch_qb1	rhox_akkorak_purchasable_speed
wh3_main_tze_tzeentch_qb2	rhox_akkorak_purchasable_speed
wh3_main_tze_tzeentch_rebels	rhox_akkorak_purchasable_speed
mixer_tze_van_horstmann	rhox_akkorak_purchasable_speed
mixer_nur_blightwing_duchy	rhox_akkorak_purchasable_speed
mixer_nur_children_of_doom	rhox_akkorak_purchasable_speed
mixer_nor_ursfjordlings	rhox_akkorak_purchasable_speed
mixer_nor_fjordlings	rhox_akkorak_purchasable_speed
mixer_nor_geimdall_huscarls	rhox_akkorak_purchasable_speed
cr_kho_servants_of_the_blood_nagas	rhox_akkorak_purchasable_speed
cr_tze_cult_of_tsien_tsin	rhox_akkorak_purchasable_speed
cr_nur_tide_of_pestilence	rhox_akkorak_purchasable_speed
rhox_kho_destroyers_of_khorne	rhox_akkorak_purchasable_speed
ovn_mar_house_den_euwe	rhox_akkorak_purchasable_speed
wh3_main_dae_daemon_prince	rhox_akkorak_purchasable_speed
wh3_main_dae_daemons_qb1	rhox_akkorak_purchasable_speed
wh2_dlc13_nor_norsca_invasion	rhox_akkorak_purchasable_missile_resistance
wh2_dlc17_nor_deadwood_ravagers	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_aghol	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_hung_incursion_def	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_hung_incursion_hef	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_hung_incursion_lzd	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_hung_incursion_skv	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_mung	rhox_akkorak_purchasable_missile_resistance
wh2_main_nor_skeggi	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_nor_dolgan	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_nor_kuj	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_nor_tong	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_nor_yusak	rhox_akkorak_purchasable_missile_resistance
wh3_dlc21_nor_wyrmkins	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_goromadny_tribe	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_helspire_tribe	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_naglfarlings	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_norsca	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_vanaheimlings	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_nor_wintertooth	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_aesling	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_baersonling	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_bjornling	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_graeling	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_qb1	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_qb2	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_qb3	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_rebels	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_separatists	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_norsca_separatists_sorcerer_lord	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_sarl	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_skaeling	rhox_akkorak_purchasable_missile_resistance
wh_main_nor_varg	rhox_akkorak_purchasable_missile_resistance
wh2_dlc16_chs_acolytes_of_the_keeper	rhox_akkorak_purchasable_missile_resistance
wh2_main_chs_chaos_incursion_def	rhox_akkorak_purchasable_missile_resistance
wh2_main_chs_chaos_incursion_hef	rhox_akkorak_purchasable_missile_resistance
wh2_main_chs_chaos_incursion_lzd	rhox_akkorak_purchasable_missile_resistance
wh2_main_chs_chaos_incursion_skv	rhox_akkorak_purchasable_missile_resistance
wh2_main_rogue_def_chs_vashnaar	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_azazel	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_chaos_qb4	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_festus	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_kholek	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_sigvald	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_valkia	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_chs_vilitch	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_dreaded_wo	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_gharhar	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_khazag	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_kvellig	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_shadow_legion	rhox_akkorak_purchasable_missile_resistance
wh3_main_chs_tong	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_khorne	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_khorne_qb	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_nurgle	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_nurgle_qb	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_slaanesh	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_slaanesh_qb	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_tzeentch	rhox_akkorak_purchasable_missile_resistance
wh_dlc08_chs_chaos_challenger_tzeentch_qb	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos_qb1	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos_qb2	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos_qb3	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos_rebels	rhox_akkorak_purchasable_missile_resistance
wh_main_chs_chaos_separatists	rhox_akkorak_purchasable_missile_resistance
cr_chs_po_hai	rhox_akkorak_purchasable_missile_resistance
cr_chs_the_scourgeborn	rhox_akkorak_purchasable_missile_resistance
cr_nor_tokmars	rhox_akkorak_purchasable_missile_resistance
cr_nor_avags	rhox_akkorak_purchasable_missile_resistance
rhox_nor_firebrand_slavers	rhox_akkorak_purchasable_missile_resistance
rhox_brt_reveller_of_domance	rhox_akkorak_purchasable_missile_resistance
rhox_nor_khazags	rhox_akkorak_purchasable_missile_resistance
rhox_nor_ravenblessed	rhox_akkorak_purchasable_missile_resistance
mixer_nor_beorg	rhox_akkorak_purchasable_missile_resistance
mixer_chs_scions_of_nurgle	rhox_akkorak_purchasable_missile_resistance
mixer_chs_slaughtermen_of_khorne	rhox_akkorak_purchasable_missile_resistance
mixer_chs_winter_palace_pretenders	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_kho_blood_keepers	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_bloody_sword	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_brazen_throne	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_crimson_skull	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_exiles_of_khorne	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_karneths_sons	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_khorne	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_khorne_qb1	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_khorne_qb2	rhox_akkorak_purchasable_missile_resistance
wh3_main_kho_khorne_rebels	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_nur_pallid_nurslings	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_bubonic_swarm	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_maggoth_kin	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_nurgle	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_nurgle_qb1	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_nurgle_rebels	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_poxmakers_of_nurgle	rhox_akkorak_purchasable_missile_resistance
wh3_main_nur_septic_claw	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_sla_keepers_of_bliss	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_exquisite_pain	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_rapturous_excess	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_seducers_of_slaanesh	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_slaanesh	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_slaanesh_qb1	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_slaanesh_rebels	rhox_akkorak_purchasable_missile_resistance
wh3_main_sla_subtle_torture	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_tze_apostles_of_change	rhox_akkorak_purchasable_missile_resistance
wh3_dlc20_tze_the_sightless	rhox_akkorak_purchasable_missile_resistance
wh3_dlc24_tze_the_deceivers	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_all_seeing_eye	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_broken_wheel	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_flaming_scribes	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_oracles_of_tzeentch	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_sarthoraels_watchers	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_tzeentch	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_tzeentch_invasion	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_tzeentch_qb1	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_tzeentch_qb2	rhox_akkorak_purchasable_missile_resistance
wh3_main_tze_tzeentch_rebels	rhox_akkorak_purchasable_missile_resistance
mixer_tze_van_horstmann	rhox_akkorak_purchasable_missile_resistance
mixer_nur_blightwing_duchy	rhox_akkorak_purchasable_missile_resistance
mixer_nur_children_of_doom	rhox_akkorak_purchasable_missile_resistance
mixer_nor_ursfjordlings	rhox_akkorak_purchasable_missile_resistance
mixer_nor_fjordlings	rhox_akkorak_purchasable_missile_resistance
mixer_nor_geimdall_huscarls	rhox_akkorak_purchasable_missile_resistance
cr_kho_servants_of_the_blood_nagas	rhox_akkorak_purchasable_missile_resistance
cr_tze_cult_of_tsien_tsin	rhox_akkorak_purchasable_missile_resistance
cr_nur_tide_of_pestilence	rhox_akkorak_purchasable_missile_resistance
rhox_kho_destroyers_of_khorne	rhox_akkorak_purchasable_missile_resistance
ovn_mar_house_den_euwe	rhox_akkorak_purchasable_missile_resistance
wh3_main_dae_daemon_prince	rhox_akkorak_purchasable_missile_resistance
wh3_main_dae_daemons_qb1	rhox_akkorak_purchasable_missile_resistance
wh2_dlc13_nor_norsca_invasion	rhox_akkorak_purchasable_melee_attack
wh2_dlc17_nor_deadwood_ravagers	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_aghol	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_hung_incursion_def	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_hung_incursion_hef	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_hung_incursion_lzd	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_hung_incursion_skv	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_mung	rhox_akkorak_purchasable_melee_attack
wh2_main_nor_skeggi	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_nor_dolgan	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_nor_kuj	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_nor_tong	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_nor_yusak	rhox_akkorak_purchasable_melee_attack
wh3_dlc21_nor_wyrmkins	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_goromadny_tribe	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_helspire_tribe	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_naglfarlings	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_norsca	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_vanaheimlings	rhox_akkorak_purchasable_melee_attack
wh_dlc08_nor_wintertooth	rhox_akkorak_purchasable_melee_attack
wh_main_nor_aesling	rhox_akkorak_purchasable_melee_attack
wh_main_nor_baersonling	rhox_akkorak_purchasable_melee_attack
wh_main_nor_bjornling	rhox_akkorak_purchasable_melee_attack
wh_main_nor_graeling	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_qb1	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_qb2	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_qb3	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_rebels	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_separatists	rhox_akkorak_purchasable_melee_attack
wh_main_nor_norsca_separatists_sorcerer_lord	rhox_akkorak_purchasable_melee_attack
wh_main_nor_sarl	rhox_akkorak_purchasable_melee_attack
wh_main_nor_skaeling	rhox_akkorak_purchasable_melee_attack
wh_main_nor_varg	rhox_akkorak_purchasable_melee_attack
wh2_dlc16_chs_acolytes_of_the_keeper	rhox_akkorak_purchasable_melee_attack
wh2_main_chs_chaos_incursion_def	rhox_akkorak_purchasable_melee_attack
wh2_main_chs_chaos_incursion_hef	rhox_akkorak_purchasable_melee_attack
wh2_main_chs_chaos_incursion_lzd	rhox_akkorak_purchasable_melee_attack
wh2_main_chs_chaos_incursion_skv	rhox_akkorak_purchasable_melee_attack
wh2_main_rogue_def_chs_vashnaar	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_azazel	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_chaos_qb4	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_festus	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_kholek	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_sigvald	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_valkia	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_chs_vilitch	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_dreaded_wo	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_gharhar	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_khazag	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_kvellig	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_shadow_legion	rhox_akkorak_purchasable_melee_attack
wh3_main_chs_tong	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_khorne	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_khorne_qb	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_nurgle	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_nurgle_qb	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_slaanesh	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_slaanesh_qb	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_tzeentch	rhox_akkorak_purchasable_melee_attack
wh_dlc08_chs_chaos_challenger_tzeentch_qb	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos_qb1	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos_qb2	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos_qb3	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos_rebels	rhox_akkorak_purchasable_melee_attack
wh_main_chs_chaos_separatists	rhox_akkorak_purchasable_melee_attack
cr_chs_po_hai	rhox_akkorak_purchasable_melee_attack
cr_chs_the_scourgeborn	rhox_akkorak_purchasable_melee_attack
cr_nor_tokmars	rhox_akkorak_purchasable_melee_attack
cr_nor_avags	rhox_akkorak_purchasable_melee_attack
rhox_nor_firebrand_slavers	rhox_akkorak_purchasable_melee_attack
rhox_brt_reveller_of_domance	rhox_akkorak_purchasable_melee_attack
rhox_nor_khazags	rhox_akkorak_purchasable_melee_attack
rhox_nor_ravenblessed	rhox_akkorak_purchasable_melee_attack
mixer_nor_beorg	rhox_akkorak_purchasable_melee_attack
mixer_chs_scions_of_nurgle	rhox_akkorak_purchasable_melee_attack
mixer_chs_slaughtermen_of_khorne	rhox_akkorak_purchasable_melee_attack
mixer_chs_winter_palace_pretenders	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_kho_blood_keepers	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_bloody_sword	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_brazen_throne	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_crimson_skull	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_exiles_of_khorne	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_karneths_sons	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_khorne	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_khorne_qb1	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_khorne_qb2	rhox_akkorak_purchasable_melee_attack
wh3_main_kho_khorne_rebels	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_nur_pallid_nurslings	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_bubonic_swarm	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_maggoth_kin	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_nurgle	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_nurgle_qb1	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_nurgle_rebels	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_poxmakers_of_nurgle	rhox_akkorak_purchasable_melee_attack
wh3_main_nur_septic_claw	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_sla_keepers_of_bliss	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_exquisite_pain	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_rapturous_excess	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_seducers_of_slaanesh	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_slaanesh	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_slaanesh_qb1	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_slaanesh_rebels	rhox_akkorak_purchasable_melee_attack
wh3_main_sla_subtle_torture	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_tze_apostles_of_change	rhox_akkorak_purchasable_melee_attack
wh3_dlc20_tze_the_sightless	rhox_akkorak_purchasable_melee_attack
wh3_dlc24_tze_the_deceivers	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_all_seeing_eye	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_broken_wheel	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_flaming_scribes	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_oracles_of_tzeentch	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_sarthoraels_watchers	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_tzeentch	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_tzeentch_invasion	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_tzeentch_qb1	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_tzeentch_qb2	rhox_akkorak_purchasable_melee_attack
wh3_main_tze_tzeentch_rebels	rhox_akkorak_purchasable_melee_attack
mixer_tze_van_horstmann	rhox_akkorak_purchasable_melee_attack
mixer_nur_blightwing_duchy	rhox_akkorak_purchasable_melee_attack
mixer_nur_children_of_doom	rhox_akkorak_purchasable_melee_attack
