pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t3	-600	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t3	600	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t4_sacrifice_requirement	-800	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t4_sacrifice_requirement	-6000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t4	-800	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t4	800	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t5_sacrifice_requirement	-1000	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t5_sacrifice_requirement	-10000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_t5	-1000	absolute	default
rhox_sarg_devotee_spent_und_sacrifices	rhox_sarg_initiative_devotee_und_t5	1000	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_upkeep_t1	-20	absolute	default
rhox_sarg_devotee_spent_und_sacrifices_upkeep	rhox_sarg_initiative_devotee_und_upkeep_t1	20	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_upkeep_t2	-40	absolute	default
rhox_sarg_devotee_spent_und_sacrifices_upkeep	rhox_sarg_initiative_devotee_und_upkeep_t2	40	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_upkeep_t3	-60	absolute	default
rhox_sarg_devotee_spent_und_sacrifices_upkeep	rhox_sarg_initiative_devotee_und_upkeep_t3	60	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_upkeep_t4	-80	absolute	default
rhox_sarg_devotee_spent_und_sacrifices_upkeep	rhox_sarg_initiative_devotee_und_upkeep_t4	80	absolute	secondary
wh3_main_sla_devotees_factor_pleasure_activities	rhox_sarg_initiative_devotee_und_upkeep_t5	-140	absolute	default
rhox_sarg_devotee_spent_und_sacrifices_upkeep	rhox_sarg_initiative_devotee_und_upkeep_t5	140	absolute	secondary
