member	context	subculture
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca_&_Negative	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca_&_Positive	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDaemons	ACTOR	wh3_main_sc_dae_daemons
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDaemons_&_Negative	ACTOR	wh3_main_sc_dae_daemons
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDaemons_&_Positive	ACTOR	wh3_main_sc_dae_daemons
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosKho	ACTOR	wh3_main_sc_kho_khorne
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosKho_&_Negative	ACTOR	wh3_main_sc_kho_khorne
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosKho_&_Positive	ACTOR	wh3_main_sc_kho_khorne
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosNur	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosNur_&_Negative	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosNur_&_Positive	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosSla	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosSla_&_Negative	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosSla_&_Positive	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosTze	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosTze_&_Negative	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosTze_&_Positive	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskinSv	ACTOR	wh_main_sc_grn_savage_orcs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskinSv_&_Negative	ACTOR	wh_main_sc_grn_savage_orcs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskinSv_&_Positive	ACTOR	wh_main_sc_grn_savage_orcs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVampCoast	ACTOR	wh2_dlc11_sc_cst_vampire_coast
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVampCoast_&_Negative	ACTOR	wh2_dlc11_sc_cst_vampire_coast
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionVampCoast_&_Positive	ACTOR	wh2_dlc11_sc_cst_vampire_coast
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGenUndead	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGenUndead_&_Negative	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGenUndead_&_Positive	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
