id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
rhox_sarg_initiative_devotee_sla_upkeep_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_sla_upkeep_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_sla_upkeep_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_sla_upkeep_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t2_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement_high	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t3_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t4_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t5_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_upkeep_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_upkeep_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_upkeep_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_upkeep_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_sarg_initiative_devotee_und_upkeep_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_bjornling_fish_sale	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_aesling_ritual_kho_the_skull_throne	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
rhox_aesling_resource_cost_kho_occupy_settlement	0	COLONISE	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
