key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost	point_cost	cooldown
rhox_sarg_faction_initiative_chs_slaanesh_1_army_movement	wh3_dlc20_faction_initiative_chs_slaanesh_1_army_movement	-1	rhox_sarg_initiative_devotee_sla_t1	rhox_sarg_initiative_devotee_sla_t1_sacrifice_requirements	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_1.png	rhox_sarg_initiative_devotee_sla_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_slaanesh_1_economy_control	wh3_dlc20_faction_initiative_chs_slaanesh_1_economy_control	-1	rhox_sarg_initiative_devotee_sla_t1	rhox_sarg_initiative_devotee_sla_t1	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_1.png	rhox_sarg_initiative_devotee_sla_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_slaanesh_1_units_daemonettes	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_daemonettes	-1	rhox_sarg_initiative_devotee_sla_t1	rhox_sarg_initiative_devotee_sla_t1	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_1.png	rhox_sarg_initiative_devotee_sla_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_slaanesh_1_units_seeker_chariots	wh3_dlc20_faction_initiative_chs_slaanesh_1_units_seeker_chariots	-1	rhox_sarg_initiative_devotee_sla_t1	rhox_sarg_initiative_devotee_sla_t1	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_1.png	rhox_sarg_initiative_devotee_sla_upkeep_t1	0	0
rhox_sarg_faction_initiative_chs_slaanesh_2_army_upgrades	wh3_dlc20_faction_initiative_chs_slaanesh_2_army_upgrades	-1	rhox_sarg_initiative_devotee_sla_t2	rhox_sarg_initiative_devotee_sla_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_2.png	rhox_sarg_initiative_devotee_sla_upkeep_t2	0	0
rhox_sarg_faction_initiative_chs_slaanesh_3_units_fiends	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_fiends	-1	rhox_sarg_initiative_devotee_sla_t3	rhox_sarg_initiative_devotee_sla_t3_sacrifice_requirement_high	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_3.png	rhox_sarg_initiative_devotee_sla_upkeep_t3	0	0
rhox_sarg_faction_initiative_chs_slaanesh_3_units_warshrine	wh3_dlc20_faction_initiative_chs_slaanesh_3_units_warshrine	-1	rhox_sarg_initiative_devotee_sla_t4	rhox_sarg_initiative_devotee_sla_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_4.png	rhox_sarg_initiative_devotee_sla_upkeep_t4	0	0
rhox_sarg_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	wh3_dlc20_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	-1	rhox_sarg_initiative_devotee_sla_t5	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_5.png	rhox_sarg_initiative_devotee_sla_upkeep_t5	0	0
rhox_sarg_faction_initiative_chs_slaanesh_5_units_soul_grinder	wh3_dlc20_faction_initiative_chs_5_units_soul_grinders	-1	rhox_sarg_initiative_devotee_sla_t5	rhox_sarg_initiative_devotee_sla_t5_sacrifice_requirement_low	UI\skins\default\chaos_gifts\ritual_gift_slaanesh_rank_5.png	rhox_sarg_initiative_devotee_sla_upkeep_t5	0	0
packlord_hunter_trait_ocean_hunter	packlord_hunter_trait_ocean_hunter	-1			ui/campaign ui/hunter_traits/hunter_open_sea.png		0	0
packlord_hunter_trait_forest_hunter	packlord_hunter_trait_forest_hunter	-1			ui/campaign ui/hunter_traits/forest_hunter.png		0	0
packlord_hunter_trait_tundra_hunter	packlord_hunter_trait_tundra_hunter	-1			ui/campaign ui/hunter_traits/tundra_hunter2.png		0	0
packlord_hunter_trait_wasteland_hunter	packlord_hunter_trait_wasteland_hunter	-1			ui/campaign ui/hunter_traits/wasteland_hunter.png		0	0
packlord_hunter_trait_badlands_hunter	packlord_hunter_trait_badlands_hunter	-1			ui/campaign ui/hunter_traits/badlands_hunter.png		0	0
packlord_hunter_trait_desert_hunter	packlord_hunter_trait_desert_hunter	-1			ui/campaign ui/hunter_traits/desert_hunter.png		0	0
packlord_hunter_trait_mountain_hunter	packlord_hunter_trait_mountain_hunter	-1			ui/campaign ui/hunter_traits/mountain_hunter.png		0	0
packlord_hunter_trait_grassland_hunter	packlord_hunter_trait_grassland_hunter	-1			ui/campaign ui/hunter_traits/grassland_hunter.png		0	0
packlord_hunter_trait_jungle_hunter	packlord_hunter_trait_jungle_hunter	-1			ui/campaign ui/hunter_traits/jungle_hunter.png		0	0
packlord_hunter_trait_underground_hunter	packlord_hunter_trait_underground_hunter	-1			ui/campaign ui/hunter_traits/underground_hunter.png		0	0
packlord_hunter_trait_dragon_hunter	packlord_hunter_trait_dragon_hunter	-1			ui/campaign ui/hunter_traits/dragon_hunter.png		0	0
packlord_hunter_trait_vampire_hunter	packlord_hunter_trait_vampire_hunter	-1			ui/campaign ui/hunter_traits/vampire_hunter.png		0	0
packlord_hunter_trait_mummy_hunter	packlord_hunter_trait_mummy_hunter	-1			ui/campaign ui/hunter_traits/mummy_hunter.png		0	0
packlord_hunter_trait_man_hunter	packlord_hunter_trait_man_hunter	-1			ui/campaign ui/hunter_traits/man_hunter.png		0	0
packlord_hunter_trait_h_elf_hunter	packlord_hunter_trait_h_elf_hunter	-1			ui/campaign ui/hunter_traits/h_elf_hunter.png		0	0
packlord_hunter_trait_w_elf_hunter	packlord_hunter_trait_w_elf_hunter	-1			ui/campaign ui/hunter_traits/w_elf_hunter.png		0	0
packlord_hunter_trait_d_elf_hunter	packlord_hunter_trait_d_elf_hunter	-1			ui/campaign ui/hunter_traits/d_elf_hunter.png		0	0
packlord_hunter_trait_dwarf_hunter	packlord_hunter_trait_dwarf_hunter	-1			ui/campaign ui/hunter_traits/dwarf_hunter.png		0	0
packlord_hunter_trait_celestial_hunter	packlord_hunter_trait_celestial_hunter	-1			ui/campaign ui/hunter_traits/celestial_hunter.png		0	0
packlord_hunter_trait_daemon_hunter	packlord_hunter_trait_daemon_hunter	-1			ui/campaign ui/hunter_traits/daemon_hunter.png		0	0
